i,lyrics
11,"가사
세상의 모서리
구부정하게 커버린
골칫거리 outsider

걸음걸이, 옷차림,
이어폰 너머 play list
음악까지 다 minor

넌 모르지
떨군 고개 위
환한 빛 조명이
어딜 비추는지

느려도 좋으니
결국 알게 되길
The one and only
You are my celebrity

잊지마 넌 흐린 어둠 사이
왼손으로 그린 별 하나
보이니 그 유일함이 얼마나
아름다운지 말야
You are my celebrity

celebrity
You are my celebrity

지쳐버린 표정 마치
전원을 꺼놓은 듯이
심장소린 too quiet

네가 가진 반짝거림,
상상력, identity
까지 모조리 diet

넌 모르지
아직 못다 핀
널 위해 쓰여진
오래된 사랑시

헤매도 좋으니
웃음 짓게 되길
The one and only
You are my celebrity

잊지마 넌 흐린 어둠 사이
왼손으로 그린 별 하나
보이니 그 유일함이 얼마나
아름다운지 말야
You are my celebrity

발자국마다 이어진 별자리
그 서투른 걸음이 새겨놓은 밑그림
오롯이 너를 만나러 가는 길
그리로 가면 돼 점선을 따라

잊지마 이 오랜 겨울 사이
언 틈으로 피울 꽃 하나
보이니 하루 뒤 봄이 얼마나
아름다울지 말야
You are my celebrity

celebrity
You are my celebrity"
12,"가사
Cos ah ah I'm in the stars tonight
So watch me bring the fire and set the night alight
Shoes on get up in the morn
Cup of milk let's rock and roll
King Kong kick the drum rolling on like a rolling stone
Sing song when I'm walking home
Jump up to the top LeBron
Ding dong call me on my phone
Ice tea and a game of ping pong
This is getting heavy
Can you hear the bass boom, I'm ready
Life is sweet as honey
Yeah this beat cha ching like money
Disco overload I'm into that I'm good to go
I'm diamond you know I glow up
Hey, so let's go
Cos ah ah I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'mma light it up like dynamite, woah
Bring a friend join the crowd
Whoever wanna come along
Word up talk the talk just move like we off the wall
Day or night the sky's alight
So we dance to the break of dawn
Ladies and gentlemen,
I got the medicine so you should keep ya eyes on the ball, huh
This is getting heavy
Can you hear the bass boom, I'm ready
Life is sweet as honey
Yeah this beat cha ching like money
Disco overload I'm into that I'm good to go
I'm diamond you know I glow up
Let's go
Cos ah ah I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'mma light it up like dynamite, woah
Dynnnnnanana, life is dynamite
Dynnnnnanana, life is dynamite
Shining through the city with a little funk and soul
So I'mma light it up like dynamite, woah
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Cos ah ah I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'mma light it up like dynamite
Cos ah ah I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'mma light it up like dynamite, woah
Dynnnnnanana, life is dynamite
Dynnnnnanana, life is dynamite
Shining through the city with a little funk and soul
So I'mma light it up like dynamite, woah"
13,"가사
Shhhhhhh
Guess who loves you 나야 나
Do I show you? No야 No
아직 Time이 아냐 난
좀 더 가까이 좀 더 가까이 그러다 갑자기 싹
I’mma steal it 마음을 훔쳐
You are gonna love me
결정적일 때 이빨을 드러내는 Type
나와 두 눈이 마주쳐도
난 흔들림이 없어 No
널 사랑하는 게 죄라면 범인은 Who?
You’ll never know
Baby 헷갈려 헷갈려 헷갈리겠지 넌
결국엔 내 거야 내 거야 내 게 되겠지 넌
이제 Finally finally 택할 시간이야
벌써 어느새 또 밤이 되었습니다
I’m the mafia
Ma ma ma ma mafia ya ya We do it like a mafia
I’m the mafia
Ma ma ma ma mafia ya ya We do it like a mafia
또 아침이 밝았습니다
어젯밤에도 You don’t even know
누구일까 Mafia
날이 밝아도 You don’t even know
누구일까 Mafia
배우보다 더 배우
늑대 가지고 노는 여우
전혀 안 보이겠지 Clue
하지만 나에겐 다 계획이 있다고 Go
그만 머뭇머뭇대
슬슬 작전 개시
너를 뺏어 뺏어 뺏어
Like a caper movie
알 수 없는 Poker face
점령해 네 맘속 Place
Hurry up! Baby, catch me if you can haha!
Baby 헷갈려 헷갈려 헷갈리겠지 넌
결국엔 내 거야 내 거야 내 게 되겠지 넌
이제 Finally finally 택할 시간이야
벌써 어느새 또 밤이 되었습니다
I’m the mafia
Ma ma ma ma mafia ya ya We do it like a mafia
I’m the mafia
Ma ma ma ma mafia ya ya We do it like a mafia
누구일까 Mafia
마지막 밤이 깊었어 Baby
이 밤이 지나면 네 곁엔 나 하나 Yeah yeah
마침내 피할 수 없는 아침이 와
Hahaha
I’m the mafia
Ma ma ma ma mafia ya ya We do it like a mafia
I’m the mafia
Ma ma ma ma mafia ya ya We do it like a mafia
또 아침이 밝았습니다
어젯밤에도 You don’t even know
누구일까 Mafia
날이 밝아도 You don’t even know
누구일까 Mafia"
14,"가사
어쩜 살아가다 보면 한번은 날 찾을지 몰라
난 그 기대 하나로 오늘도 힘겹게 버틴걸

난 참 기억력도 좋지 않은데 왜 너의 관한건
그 사소한 추억들 까지도 생각이 나는지

너를 잊을 순 없지만 붙잡고 싶지만
이별 앞에서 할 수 있는건
좋은 기억이라도 남도록
편히 보내 주는 일

혼자 남아도 괜찮아 가도 괜찮아
세상에 제일 자신 있는 건
내가 언제나 그래 왔듯이
너를 기다리는 일

어쩜 살아가다 보면 한번은 날 찾을지 몰라
난 그 기대 하나로 오늘도 힘겹게 버틴걸

부디 하루 빨리 좋은 사람과 행복하길 바래
그래야만 내 마음 속에서 널 보낼 것 같아

너를 잊을순 없지만 붙잡고 싶지만
이별 앞에서 할 수 있는 건
좋은 기억이라도 남도록 
편히 보내 주는 일

이젠 멀어져 가지만 잠시였지만
태어나 처음 잘한 듯 한건
내겐 아무리 생각해봐도
너를 사랑 했던 일

서로가 하나씩 이별의 선물을 나눠간 거잖아
난 마음을 준대신 넌 내게 추억을 준거야

다시 또 나를 살아가게 할거야

날 아프게 했지만 울게 했지만
이것 하나 만큼은 고마워
눈 감는 그날 내가 가져갈 추억 만들어 줘서"
15,"가사
1, 2 Come On, R U Ready
3, 4 Do It. I'm Ready 
5, 6 Baby Are You Ready

지금 나와 어디든 가자 
지루한 하루 여기까지만 All Stop
작은 가방 운동화 챙겨 
자 더 크게 Radio를 높이고

코발트블루 물결 눈부신 바다
달빛 가득 묻은 작은 섬
야경이 눈부신 도시는 어때?
함께라면 어디든 좋아 
난 너와 나 그곳으로 

떠나는 거야 
상상에 상상에 상상을 더해서
어머 깜짝야
눈부셔 눈부셔 눈부셔 이건 뭐
Oh Hello New World 
두 손 모아 소리치면
푸른 하늘이 내게로 와

날아가볼래
상상의 상상의 미래로 가볼까
바람을 타고 
새로운 눈빛에 가슴이 붐 붐 붐
Oh 발견했어 우리들만의 Paradise

흑백영화 같은 하루에 
레몬 터지듯 짜릿함이 필요해
지금 당장 널 데려갈게 
꿈꿔오던 사진 속 그곳으로

민트그린빛 바람 가득한 숲 속
달콤한 향기의 칵테일
지도를 벗어나 Ticket To The Dream
함께라면 어디든 좋아 
난 너와 나 그곳으로

떠나는 거야 
상상에 상상에 상상을 더해서
어머 깜짝야 
눈부셔 눈부셔 눈부셔 이건 뭐
Oh Hello New World 
두 손 모아 소리치면
푸른 하늘이 내게로 와

날아가볼래
상상의 상상의 미래로 가볼까
바람을 타고 
새로운 눈빛에 가슴이 붐 붐 붐 
Oh 발견했어 우리들만의 Paradise

너와 나의 비밀스런 풍경들
언제라도 다시 와 주겠니
은하수 아래 밤새 부른 노래 
영원히 잊지 않을 거야

이 시간 속에 영원히 
네 품에 안기고 싶은걸 
단 둘이 이순간 잠들고 싶은걸
지도엔 없는 이 곳을 꼭 기억해줘
우리들만의 Paradise 

상상에 상상에 상상을 더해서
어머 깜짝야
눈부셔 눈부셔 눈부셔 이건 뭐
oh Hello New World 
처음 만난 세상 속에
나의 가슴이 라 라 라 라

날아가볼래
상상의 상상의 미래로 가볼까
바람을 타고 
새로운 눈빛에 가슴이 붐 붐 붐
Oh 발견했어 우리 들만의 Paradise

1, 2 Come On, R U Ready
3, 4 Do It. I'm Ready 
5, 6 Baby Are You Ready"
16,"가사
행복했어 너와의 시간들 아마도 너는 힘들었겠지
너의 마음을 몰랐던 건 아니야 나도 느꼈었지만
널 보내는 게 널 떠나보내는 게 아직은 익숙하지가 않아
그렇게 밖에 할 수 없던 네가 원망스러워
왜 말 안했니 아님 못 한거니 조금도 날 생각하지 않았니
좋아한다며 사랑한다며 이렇게 끝낼 거면서 왜 그런 말을 했니
널 미워해야만 하는 거니 아니면 내 탓을 해야만 하는 거니
시간을 돌릴 수만 있다면 다시 예전으로 돌아가고 싶은 마음뿐이야

왜 말 안했니 아님 못 한거니 조금도 날 생각하지 않았니
좋아한다며 사랑한다며 이렇게 끝낼 거면서 왜 그런 말을 했니
널 미워해야만 하는 거니 아니면 내 탓을 해야만 하는 거니
시간을 돌릴 수만 있다면 다시 예전으로 돌아가고 싶은 마음뿐이야

그래 더 이상 묻지 않을게 내 곁을 떠나고 싶다면
돌아보지 말고 떠나가
눈물은 흘리지 않을게 괜히 마음만 약해지니까
내게서 멀어진 네 모습이 흐릿하게 보여
눈물이 나나 봐
널 많이 그리워할 것 같아
참아야만 하겠지 잊혀 질 수 있도록
다신 사랑 같은 거 하지 않을래
내 마지막 사랑은 돌아선 너에게 주고 싶어서
행복하길 바래 나보다 좋은 남자 만나기를
woo~~"
17,"가사
이곳의 밤은 원래 항상 건조한가요
창밖엔 비가 오는데 나는 목이 말라요
나를 외롭게 만드는 저 불빛이 처음부터 싫었던 건 아니지만
밤새도록 빛나면 나는 잠들 수가 없는데

Are you alone?
우린 지금 연락해야 해
서로의 안부를 챙겨주며
복잡한 얘기를 들어주면 돼
어떻게든
우린 지금 연결되어야 해
누가 먼저라고 못하게
똑같이 잠이 들게 돼
are you still alone?

아침을 기다리는 게 차라리 나을걸요
이곳의 밤은 유난히 느리게 흘러가요
새벽은 깊어질수록 더 반짝여 그대 두 눈 꼭 감고 기다리지
말고 나랑 놀아요 딱히 재밌을 건 없지만

Are you alone?
우린 지금 연락해야 해
서로의 안부를 챙겨주며
복잡한 얘기를 들어주면 돼
어떻게든 우린 지금 연결되어야 해
누가 먼저라고 못하게
똑같이 잠이 들게 돼
are you still

하나둘씩 잠이 드나요
우리만 빼고 이 도시는
아니길 바라지만 역시
내일도 오늘처럼

Are you alone?
우린 매일 연락해야 해
이 밤은 점점 더 우리에게
차갑고 주눅들게 하는데
어떻게든
우린 서로 안아줘야 해
조금 더 귀찮게 굴어도 돼
가깝게 볼 순 없어도 are you still alone?"
18,"가사
없던 욕심이 내게 생겼어
항상 멀찍이 뒤에 숨어서
몰래 네 모습 훔쳐보는 일
이젠 조금 지쳤나 봐 나 어떡해

가끔 두 눈이 마주칠 때면 (Down Down Down)
내 맘 들킬까 겁이 났었지 (Yeah Yeah)
이젠 용기내 다가가 볼래
너무 욕심나 너에게

Oh I want you, oh I want you,
너무 오래 걸렸어 이렇게 내 맘을 전하기까지
Oh I love you, oh I love you
이제라도 내 맘 받아 줄래

조금 이기적이라 미안해 (So sorry)
나도 그만큼 쉽지 않았어 (Not easy)
이젠 용기내 숨지 않을래
너무 욕심나 너에게

Oh I want you, oh I want you,
너무 오래 걸렸어 이렇게 내 맘을 전하기까지
Oh I love you, oh I love you
힘들게 꺼낸 맘이야 담을 수 없어

며칠 지나 연락도 없이 어색하면 어쩌지
서로 알지 Secret number
장난이냐며 가볍게 생각지 말아줘
It must be 그건 절대 아냐

Oh I love you, oh I love you
매일 밤 이렇게 너에게만 끝없이 고백할게
Oh I love you, oh I love you
몇 번을 말해도 내 마음을 표현하긴 모자라
Oh I love you, oh I love you
이제라도 내 맘 받아 줄래"
19,"가사
김진호)
내 가슴속에 사는 사람 내가 그토록 아끼는 사람
너무 소중해 마음껏 안아보지도 못했던

채동하)
누구에게나 흔한 행복 한 번도 준적이 없어서
맘 놓고 웃어본 적도 없는 그댈 사랑합니다

김용준) 
내가 기쁠 때나 슬플 때나 함께 울고 웃어주던
그댈 위해 내가 할 수 있는건 뭐든 해주고 싶어

김진호) 
안녕 내 사랑 그대여 이젠 내가 지켜줄게요
못난 날 믿고 참고 기다려줘서 고마워요
안녕 내 사랑 그대여 영원토록 사랑할게요
다시 태어나서 사랑한대도 그대이고 싶어요

채동하) 
어두운 밤길을 잃어도 서로 등불이 되어주고
비바람 몰아쳐도 지금 잡은 두 손 놓지 말아요

김용준) 
내가 힘들 때나 아플 때나 내 곁에 있어준 그대
미안하단 말로 고맙단 말을 대신 하던 나였죠

김진호) 
안녕 내 사랑 그대여 이젠 내가 지켜줄게요
못난 날 믿고 참고 기다려줘서 고마워요
안녕 내 사랑 그대여 영원토록 사랑할게요
다시 태어나서 사랑한대도 그대이고 싶어요 
넘어지고 몇 번을 다시 넘어진다 해도 
그대만 있다면 다시 일어날 수 있는데

김진호) 
안녕 내 사랑 그대여 이젠 내가 지켜줄게요
못난 날 믿고 참고 기다려줘서 고마워요

채동하) 
안녕 내 사랑 그대여 이렇게 그댈 부를 때면 
너무 행복해서 눈물이 나죠 사랑해요

나나 나나나 나나나 나나 나나나나 나나나
나나 나 나나 나나 나나나나나
나나 나나나 나나나 나나 나나나나 나나나
나나 나나나 나나나 나나 나나"
20,"가사
My life's been magic seems fantastic 
I used to have a hole in the wall with a mattress 
It’s funny when you want it 
Suddenly you have it 
You find out that your gold’s just plastic 

Every day every night 
I’ve been thinking back on you and I 
Every day every night 

I worked my whole life 
Just to get right just to be like 
Look at me I’m never coming down 

I worked my whole life 
Just to get high just to realize 
Everything I need is on the 
Everything I need is on the ground 
On the ground 
Everything I need is on the ground 

Nah but they don’t hear me though (Yeah what goes up it must come down) 
Nah but they don’t hear me though (You’re running out of time) 

My world’s been hectic seems electric 
But I’ve been waking up with your voice in my head 
And I’m trying to send a message 
And let you know that every single minute I’m without you I regret it 

Every day every night 
I’ve been thinking back on you and I 
Every day every night 

I worked my whole life 
Just to get right just to be like 
Look at me I’m never coming down 

I worked my whole life 
Just to get high just to realize 
Everything I need is on the 
Everything I need is on the ground 
On the ground 
Everything I need is on the ground 

Nah but they don’t hear me though (Yeah what goes up it must come down) 
Nah but they don’t hear me though (You’re running out of time) 

I’m way up in the clouds 
And they say I’ve made it now 
But I figured it out 
Everything I need is on the ground 

Just drove by your house 
So far from you now 
But I figured it out 
Everything I need is on the 
Everything I need is on the ground 

On the ground 
Everything I need is on the ground 
Nah but they don’t hear me though 
On the ground 
Nah but they don’t hear me though 
Everything I need is on the ground"
21,"가사
강자에게 더 세게 I love gamble
과감할수록 신세계 on my table
I’m sorry 세상이 원래 불공평해
So 더럽게 재미있지
Now I move I move I move I move I move
Go ahead
I don’t look
 no look no look no look no look
What’s in my hand
I said go
Baby 알잖아 내가 한 번 미치면
어디까지 가는지
마지막 게임이니만큼
후회 없는 실수를 저질러
I can’t die I’m all-in
I can’t die I’m all-in
Born to be gambler
배운 적 없지 even no tutor
최악의 패를 가지고 싹 쓸어
한 수 배우고 싶음 더 예의 있게 굴어
승리를 손에 꽉 잡아 말아 쥐어
Worth more than jewels
저리 가서 놀아줘
It’s no kids zone
매경기 살벌하게
난 목숨을 걸어 like a bullfight
Go vamos vamos vamos vamos vamos
Go ahead
It’s new rule new rule
new rule new rule new rule
Watch your back
I said go
Baby 알잖아 내가 지금 이 판에
도대체 뭘 거는지
마지막 betting이니만큼
엉망으로 테이블을 어질러
I can’t die I’m all-in
I can’t die I’m all-in
Queen, Nicely done. My bad you lose.
구걸하지 않는 눈빛 우리 game의 rule
Come on, give it up. Wholly you lose.
끝내줄게 그만 여기서
I can’t die I’m all-in
I can’t die I’m all-in
I can’t die I’m all-in
(It’s my last no game no more no more)
I can’t die I’m all-in
(It’s my last no game no more no more)
I can’t die I’m all-in"
22,"가사
밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까
오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘

참 많이 어색했었죠 널 처음 만난 날
멀리서 좋아하다가 들킨 사람처럼
숨이 가득 차올라서 아무 말 하지 못했는데
너는 말 없이 웃으며 내 손 잡아줬죠

밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까
오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘

널 좋아하는 내 마음이 표현이 안 돼
꿈이 아니면 좋겠어 자꾸 웃음 나와
내 모든 걸 다 준대도 너에겐 아깝질 않아
이 순간이 영원하길 난 정말 행복해

밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까
오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘
그저 내 곁에만 있어줘 떠나지 말아줘

많고 많은 사람 중에 너를 만나서 행복하고 싶어 두 번 다시 울지 않을래
오직 내 눈에는 너만 보여 나를 아껴줘 이제부터 혼자가 아니야 우린 함께니까

나나나 난난 난난나
나나나 난난 난난나
나 나나나 난난 난난나 나나난나
나나나 난난 난난나
나나나 난난 난난나
나 나나나 난난 난난나 나나난나"
23,"가사
느낌이 오잖아 떨리고 있잖아 
언제까지 눈치만 볼 거니
네 맘을 말해봐 딴청 피우지 말란 말이야 
네 맘 가는 그대로 지금 내 손을 잡아 
어서 내 손을 잡아

우연히 고개를 돌릴 때 마다
눈이 마주치는 건
며칠밤 내내 꿈속에 나타나
밤새 나를 괴롭히는 건

그 많은 빈자리 중에서 하필
내 옆자릴 고르는 건
나도 모르게 어느새 실없는 웃음
흘리고 있다는 건

그럼 말 다했지 뭐 우리 얘기 좀 할까

느낌이 오잖아 떨리고 있잖아 
언제까지 눈치만 볼 거니
네 맘을 말해봐 딴청 피우지 말란 말이야 
네 맘 가는 그대로 지금 내 손을 잡아 

핸드폰 진동에 심장이 덜컥
내려 앉는다는 건
오 나도 모르게 어느새 짓궂은 네 말투
자꾸 듣고 싶은걸

어떡해
(저기 멀리 걸어온다) 
(눈이 마주친다)
언제까지 넌 모른척 할거니

사랑이 온거야 너와 나 말이야
네가 좋아 정말 못 견딜 만큼
그거면 된거야 더는 생각하지 말란 말이야
네 맘 가는 그대로

느낌이 오잖아 떨리고 있잖아 
언제까지 눈치만 볼 거니
네 맘을 말해봐 딴청 피우지 말란 말이야 
네 맘 가는 그대로 지금 내 손을 잡아

그냥 내 손을 잡아 지금 내 손을 잡아 "
24,"가사
사랑이란 대체 뭘까
더 멀어지기 위해 내게 왔던가
적당한 거리라도 둘걸 그랬나
마음의 준비라도 해둘 걸
금방이라도 울 것 같아
고개를 들어 괜히 웃어 보였다
달빛에 비쳐 나의 눈물 보였나
눈을 감아 흘려버릴 걸

비틀거려도 될 이유 같은 것
평소와 달라도 납득이 되고
괴로워하고 좀 주저앉아도
이상할 것 하나 없게

술을 마시면
이 밤도 사라질까
오늘도 내일도 내게
큰 의미 없는 날인데
Goodbye
오늘도 내일도 내겐
그저 너 없는 날인데

I need you
Still feel you
I'll kill you
If I can't have you babe
Or kill me
Please heal me
Cause I can't hear you babe
너도 술을 마시면
기억을 지우면
우리 다시 만날 수 있을까

내 거친 손으로 감싸던 너의 두 뺨
사탕을 손에 쥔 아이처럼 웃으며 입 맞추던 그날
아직도 생생해 입술의 향기
내 옷깃을 잡던 너의 손길
사랑이란 감정
시간이 갈수록 커져
날 바라볼 때
너의 미소는 마치 물 위에 뿌려 놓은 햇살 가루
너로 인해 희망을 잃지 않았던 나의 하루
손잡고 흔들며 달리던 바다
불어오는 바람 두려울 것 없다는 듯이 소리쳤지
사랑 이대로 영원할 거라 믿었어
하지만 뒤돌아보니 너는 없고
석양에 검게 탄
먼 바다를 바라보는 사내의 뒷모습만

술을 마시면
이 밤도 사라질까
오늘도 내일도 내게
큰 의미 없는 날인데
술을 마셔도
조금도 낫지 않아
오늘도 내일도 내겐
그저 너 없는 날인데
Goodbye

오늘도 내일도 내겐
그저 너 없는 날인데
Goodbye"
25,"가사
영원한 밤
창문 없는 방에 우릴 가둔 love
What can we say
매번 아파도 외치는 love

다치고 망가져도 나
뭘 믿고 버티는 거야
어차피 떠나면 상처투성인 채로 미워하게 될걸
끝장을 보기 전 끝낼 순 없어
이 아픔을 기다린 것처럼

아마 다 잠깐 일지도 몰라
우린 무얼 찾아서 헤매는 걸까

But I don’t care I’ll do it over and over
내 세상 속엔 너만 있으면 돼

We are the lovesick girls
네 멋대로 내 사랑을 끝낼순 없어
We are the lovesick girls
이 아픔 없인 난 아무 의미가 없어

But we were born to be alone
Yeah we were born to be alone
Yeah we were born to be alone 
But why we still looking for love

No love letters, no x and o’s
No love never, my exes know
No diamond rings, that set in stone
To the left, better left alone

Didn’t wanna be a princess, I’m priceless
A prince not even on my list
Love is a drug that I quit
No doctor could help when I’m lovesick

아마 다 잠깐 일지도 몰라
우린 무얼 찾아서 헤매는 걸까

불안한 내 눈빛 속에 널 담아
아프더라도 너만 있으면 돼

We are the lovesick girls
네 멋대로 내 사랑을 끝낼 순 없어
We are the lovesick girls
이 아픔 없인 난 아무 의미가 없어

But we were born to be alone
Yeah we were born to be alone
Yeah we were born to be alone 
But why we still looking for love

사랑은 slippin’ and fallin’
사랑은 killin’ your darlin’
아프다 아물면 또 찾아오는 이 겁 없는 떨림

들리지 않아 what you say
이 아픔이 난 행복해
나를 불쌍해 하는 네가 내 눈엔 더 불쌍해

We are the lovesick girls
네 멋대로 내 사랑을 끝낼 순 없어
We are the lovesick girls
이 아픔없인 난 아무 의미가 없어

Lovesick girls 
모두 결국 떠나가고
Lovesick girls
내 눈물이 무뎌져도
Lovesick girls
아프고 또 아파도
Lovesick girls
But we’re still looking for love"
26,"가사
What you doin
(what you doin)
Where you at
(where you at)
Oh you got plans
(you got plans)
Don’t say that
(shut yo trap)
I’m sippin wine
(sip sip)
In a robe
(drip rip)
I look too good
(look too good)
To be alone
(wooohooo)
My house clean
(house clean)
My pool warm
(pool warm)
Just shaved
(smooth like a new born)
We should be dancing, romancing
In the east wing and the west wing
Of this mansion, wus happenin
I aint playin no games
Every word that I say
Is coming straight from the heart
(so if you tryna lay in these arms)
Imma leave the door open
(imma leave the door open)
Imma leave the open girl
(Imma leave the door open, hopin)
That you feel the way I feel
And you want me like
I want you tonight baby
(tell me that you’re coming through)
You’re so sweet
(so sweet)
So tight
(so tight)
I won’t bite
(ahh ahh)
Unless you like
(unless you like)
If you smoke
(what you smoke)
I got that haze
(purple haze)
And if you’re hungry girl I got filets
(woohooo)
Ooh baby don’t keep me waiting
There’s so much love we could be making
I’m talking kissing, Cuddling
Rose pedals in the bathtub
Lets jump in, Its bubblin
I aint playin no games
Every word that I say
Is coming straight from the heart
(so if you tryna lay in these arms)
Imma leave the door open
(imma leave the door open)
Imma leave the open girl
(Imma leave the door open, hopin)
That you feel the way I feel
And you want me like
I want you tonight baby
(tell me that you’re coming through)
La la laaa la la la la la
(I need you baby)
La la laaa la la la la
(I gotta see you baby)
La la laaa la la la la
(Girl I’m tryna give you this)
(aaaaahhhhhhhhhh)
Imma leave the door open
(imma leave the door open)
Imma leave the open girl
(Imma leave the door open, hopin)
And I'm hopin'
Hopin' that you feel the way I feel
And you want me like
 I want you tonight, baby
Tell me that you're coming through, woo
La la laaa la la la la la
Tell me (tell me that you're coming through)
Woo, woo-woo, woo,
woo-woo, woo, woo-woo
Woo, woo-woo, woo,
woo-woo, woo, woo-woo
la, la, la, la-la
(Tell me that you're coming through)
Girl, I'm here just waiting for you (ayy)
Come on over, I'll adore you (I gotta know)
(La, la, la, la-la-la-la)
I'm waiting, waiting, waiting for you
 (tell me that you're coming through)
Girl, I'm here just waiting for you
Come on over, I'll adore you
(La, la, la, la-la-la-la)"
27,"가사
그대는 참 아름다워요
밤 하늘의 별빛보다 빛나요
지친 나의 마음을 따뜻하게 감싸줄
그대 품이 나의 집이죠
세찬 바람 앞에서
꺼질듯한 내 사랑도
잘 참고서 이겨내줬어요
정말 눈물나도록 고마운 맘 아나요
그대 내곁에 살아줘서
사랑해요 사랑해요
내가 그대에게 부족한걸 알지만
세월을 걷다보면 지칠때도 있지만
그대의 쉴곳이 되리라
사랑해요 고마운 내 사랑
평생 그대만을 위해 부를 이노래
사랑 노래 함께 불러요
둘이서 라라라
그대 쳐진 어깨가 내맘을 아프게 해요
잘 해준것도 없는 나라서
그대의 고운 손이 세월에 변했어요
못지켜줘서 미안해요
사랑해요 사랑해요
내가 그대에게 부족한걸 알지만
세월을 걷다보면 지칠때도 있지만
그대에게 쉴곳이 되리라
사랑해요 고마운 내 사랑
평생 그대만을 위해 부를 이노래
사랑노래 함께 불러요
둘이서 라라라
고마워요 고마워요
그대 자신보다 나를 아껴준 사랑
세상이 등 돌려도 누가 뭐라고 해도
내가 그대 지켜줄게요
사랑해요 소중한 내사랑
평생 그대만을 위해 부를 이노래
사랑노래 함께 불러요
둘이서 라라라
그대 품이 나의 집이죠 영원히 라라라"
28,"가사
당신은 날 설레게 만들어
조용한 내 마음 자꾸만 춤추게 해
얼마나 얼마나 날 떨리게 하는지
당신이 이 밤을 항상 잠 못 들게 해

매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서
오오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워

나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만
오늘도 잠 못 이루는 이 밤 아름다운 그대
나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이
오늘 밤 잠이 오질 않네요 보고 싶은 그대여

당신이 날 힘들게 만들어
갑자기 내 마음 자꾸만 멍들게 해
얼마나 얼마나 잠 못 들게 하는지
고요한 내 마음 항상 시끄럽게 해

매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서
워 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워

나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만
오늘도 잠 못 이루는 이 밤 아름다운 그대
나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이
오늘 밤 잠이 오질 않네요 보고 싶은 그대여

매일 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서
워오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워

나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만
오늘도 잠 못 이루는 이 밤 아름다운 그대여
나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이
오늘 밤 잠이 오질 않네요 보고 싶은 그대여"
