0,1,2,3,4
앞,NNG,181,33,"('앞', 'NNG')"
모두,MAG,182,32,"('모두', 'MAG')"
뒤,NNG,183,32,"('뒤', 'NNG')"
모르,VV,184,32,"('모르', 'VV')"
부르,VV,185,32,"('부르', 'VV')"
그렇게,MAG,186,32,"('그렇게', 'MAG')"
어떻게,MAG,187,32,"('어떻게', 'MAG')"
안,NNG,188,31,"('안', 'NNG')"
어둠,NNG,189,31,"('어둠', 'NNG')"
뭐,NP,190,31,"('뭐', 'NP')"
바보,NNG,191,31,"('바보', 'NNG')"
your,SL,192,30,"('your', 'SL')"
so,SL,193,30,"('so', 'SL')"
no,SL,194,30,"('no', 'SL')"
don,SL,195,30,"('don', 'SL')"
곳,NNG,196,30,"('곳', 'NNG')"
babe,SL,197,30,"('babe', 'SL')"
노래,NNG,198,30,"('노래', 'NNG')"
So,SL,199,30,"('So', 'SL')"
life,SL,200,30,"('life', 'SL')"
나나,NNG,201,30,"('나나', 'NNG')"
아주,MAG,202,30,"('아주', 'MAG')"
영원히,MAG,203,29,"('영원히', 'MAG')"
영원,NNG,204,29,"('영원', 'NNG')"
가장,MAG,205,28,"('가장', 'MAG')"
목소리,NNG,206,28,"('목소리', 'NNG')"
아,VV,207,28,"('아', 'VV')"
Hey,SL,208,28,"('Hey', 'SL')"
보이,VV,209,28,"('보이', 'VV')"
서로,MAG,210,28,"('서로', 'MAG')"
down,SL,211,27,"('down', 'SL')"
good,SL,212,27,"('good', 'SL')"
누구,NP,213,27,"('누구', 'NP')"
light,SL,214,27,"('light', 'SL')"
겨울,NNG,215,27,"('겨울', 'NNG')"
이름,NNG,216,27,"('이름', 'NNG')"
혼자,NNG,217,27,"('혼자', 'NNG')"
VVS,SL,218,27,"('VVS', 'SL')"
got,SL,219,26,"('got', 'SL')"
stop,SL,220,26,"('stop', 'SL')"
설레,VV,221,26,"('설레', 'VV')"
얼마나,MAG,222,26,"('얼마나', 'MAG')"
심장,NNG,223,26,"('심장', 'NNG')"
혼자,MAG,224,26,"('혼자', 'MAG')"
거리,NNG,225,26,"('거리', 'NNG')"
여전히,MAG,226,26,"('여전히', 'MAG')"
look,SL,227,25,"('look', 'SL')"
아래,NNG,228,25,"('아래', 'NNG')"
wanna,SL,229,25,"('wanna', 'SL')"
대여,NNG,230,25,"('대여', 'NNG')"
후회,NNG,231,25,"('후회', 'NNG')"
e,SL,232,25,"('e', 'SL')"
시작,NNG,233,25,"('시작', 'NNG')"
time,SL,234,25,"('time', 'SL')"
쉬,VV,235,25,"('쉬', 'VV')"
오직,MAG,236,25,"('오직', 'MAG')"
많,VA,237,25,"('많', 'VA')"
집,NNG,238,25,"('집', 'NNG')"
get,SL,239,24,"('get', 'SL')"
Dance,SL,240,24,"('Dance', 'SL')"
받,VV,241,24,"('받', 'VV')"
이미,MAG,242,24,"('이미', 'MAG')"
전,NNG,243,24,"('전', 'NNG')"
아침,NNG,244,24,"('아침', 'NNG')"
살아가,VV,245,24,"('살아가', 'VV')"
흔들,VV,246,24,"('흔들', 'VV')"
tell,SL,247,24,"('tell', 'SL')"
this,SL,248,23,"('this', 'SL')"
눈빛,NNG,249,23,"('눈빛', 'NNG')"
Ooh,SL,250,23,"('Ooh', 'SL')"
언제나,MAG,251,23,"('언제나', 'MAG')"
계절,NNG,252,23,"('계절', 'NNG')"
all,SL,253,22,"('all', 'SL')"
go,SL,254,22,"('go', 'SL')"
이상,NNG,255,22,"('이상', 'NNG')"
닿,VV,256,22,"('닿', 'VV')"
참,VV,257,22,"('참', 'VV')"
바다,NNG,258,22,"('바다', 'NNG')"
boom,SL,259,22,"('boom', 'SL')"
제발,MAG,260,22,"('제발', 'MAG')"
right,SL,261,21,"('right', 'SL')"
가까이,MAG,262,21,"('가까이', 'MAG')"
놓,VV,263,21,"('놓', 'VV')"
잃,VV,264,21,"('잃', 'VV')"
처음,MAG,265,21,"('처음', 'MAG')"
for,SL,266,21,"('for', 'SL')"
마지막,NNG,267,21,"('마지막', 'NNG')"
싫,VA,268,21,"('싫', 'VA')"
woo,SL,269,21,"('woo', 'SL')"
소리,NNG,270,21,"('소리', 'NNG')"
보내,VV,271,21,"('보내', 'VV')"
이제,NNG,272,21,"('이제', 'NNG')"
If,SL,273,21,"('If', 'SL')"
here,SL,274,21,"('here', 'SL')"
얼굴,NNG,275,21,"('얼굴', 'NNG')"
전부,NNG,276,21,"('전부', 'NNG')"
ll,SL,277,20,"('ll', 'SL')"
비,NNG,278,20,"('비', 'NNG')"
춤,NNG,279,20,"('춤', 'NNG')"
바라보,VV,280,20,"('바라보', 'VV')"
만들,VV,281,20,"('만들', 'VV')"
이대로,MAG,282,20,"('이대로', 'MAG')"
Love,SL,283,20,"('Love', 'SL')"
ooh,SL,284,20,"('ooh', 'SL')"
대답,NNG,285,20,"('대답', 'NNG')"
night,SL,286,20,"('night', 'SL')"
나,VV,287,20,"('나', 'VV')"
넘,VV,288,20,"('넘', 'VV')"
오래,MAG,289,20,"('오래', 'MAG')"
의미,NNG,290,20,"('의미', 'NNG')"
인사,NNG,291,20,"('인사', 'NNG')"
WE,SL,292,20,"('WE', 'SL')"
GO,SL,293,20,"('GO', 'SL')"
Like,SL,294,19,"('Like', 'SL')"
into,SL,295,19,"('into', 'SL')"
Come,SL,296,19,"('Come', 'SL')"
어느새,MAG,297,19,"('어느새', 'MAG')"
deep,SL,298,19,"('deep', 'SL')"
안녕,NNG,299,19,"('안녕', 'NNG')"
걸음,NNG,300,19,"('걸음', 'NNG')"
OOV,-,301,10204,"('OOV', '-')"
